Date,Close,Open,High,Low,%change,%rate
16/07/2015,1.0875,1.0947,1.0964,1.0856,-0.0068,-0.68
17/07/2015,1.0829,1.0875,1.0907,1.0827,-0.0042,-0.42
20/07/2015,1.0827,1.0833,1.0872,1.081,-0.0002,-0.02
21/07/2015,1.0937,1.0825,1.097,1.0811,0.0102,1.02
22/07/2015,1.0934,1.0936,1.0966,1.0869,-0.0003,-0.03
23/07/2015,1.0983,1.0928,1.1019,1.0922,0.0045,0.45
24/07/2015,1.0984,1.0983,1.0997,1.0926,0.0001,0.01
27/07/2015,1.1094,1.0974,1.113,1.097,0.01,1
28/07/2015,1.1059,1.1089,1.1101,1.1022,-0.0032,-0.32
29/07/2015,1.0986,1.1061,1.1086,1.0967,-0.0066,-0.66
30/07/2015,1.0933,1.0987,1.0992,1.0894,-0.0048,-0.48
31/07/2015,1.0988,1.0934,1.1114,1.0921,0.005,0.5
3/8/2015,1.0951,1.097,1.0997,1.0941,-0.0034,-0.34
4/8/2015,1.0882,1.0951,1.0989,1.0877,-0.0063,-0.63
5/8/2015,1.0906,1.0883,1.0938,1.0849,0.0022,0.22
6/8/2015,1.0925,1.0909,1.0944,1.0876,0.0017,0.17
7/8/2015,1.0968,1.093,1.0981,1.0857,0.0039,0.39
10/8/2015,1.1019,1.0969,1.1044,1.0927,0.0046,0.46
11/8/2015,1.104,1.1019,1.1088,1.096,0.0019,0.19
12/8/2015,1.1157,1.104,1.1212,1.1023,0.0106,1.06
13/08/2015,1.1149,1.1157,1.1189,1.108,-0.0007,-0.07
14/08/2015,1.1107,1.1149,1.1189,1.1096,-0.0038,-0.38
17/08/2015,1.1081,1.1106,1.1125,1.1058,-0.0023,-0.23
18/08/2015,1.1021,1.1083,1.1096,1.1018,-0.0054,-0.54
19/08/2015,1.1119,1.1023,1.1137,1.1019,0.0089,0.89
20/08/2015,1.1242,1.1117,1.1246,1.1105,0.0111,1.11
21/08/2015,1.1389,1.1244,1.1393,1.1229,0.0131,1.31
24/08/2015,1.162,1.1363,1.1713,1.1363,0.0203,2.03
25/08/2015,1.1517,1.1619,1.1625,1.1399,-0.0089,-0.89
26/08/2015,1.1315,1.1515,1.1561,1.129,-0.0175,-1.75
27/08/2015,1.1245,1.1314,1.1366,1.1204,-0.0062,-0.62
28/08/2015,1.1179,1.1247,1.131,1.1156,-0.0059,-0.59
31/08/2015,1.1214,1.1176,1.1265,1.1162,0.0031,0.31
1/9/2015,1.1319,1.1211,1.1333,1.1206,0.0094,0.94
2/9/2015,1.1227,1.1311,1.1319,1.1214,-0.0081,-0.81
3/9/2015,1.1124,1.1227,1.1246,1.1088,-0.0092,-0.92
4/9/2015,1.1147,1.1124,1.1181,1.1089,0.0021,0.21
7/9/2015,1.1168,1.1157,1.1178,1.112,0.0019,0.19
8/9/2015,1.12,1.117,1.1229,1.1152,0.0029,0.29
9/9/2015,1.1207,1.1202,1.1219,1.1133,0.0006,0.06
10/9/2015,1.128,1.1209,1.1299,1.1174,0.0065,0.65
11/9/2015,1.134,1.1279,1.1349,1.1254,0.0053,0.53
14/09/2015,1.1321,1.1338,1.1375,1.1285,-0.0017,-0.17
15/09/2015,1.1267,1.1313,1.1328,1.1258,-0.0048,-0.48
16/09/2015,1.129,1.1267,1.1321,1.1212,0.002,0.2
17/09/2015,1.1437,1.129,1.1442,1.1284,0.013,1.3
18/09/2015,1.1305,1.1435,1.146,1.1267,-0.0115,-1.15
21/09/2015,1.1189,1.1284,1.1332,1.1183,-0.0103,-1.03
22/09/2015,1.112,1.1188,1.1209,1.1114,-0.0062,-0.62
23/09/2015,1.1187,1.112,1.1214,1.1105,0.006,0.6
24/09/2015,1.123,1.1185,1.1296,1.1164,0.0038,0.38
25/09/2015,1.1195,1.1227,1.1231,1.1115,-0.0031,-0.31
28/09/2015,1.1246,1.1195,1.125,1.1149,0.0046,0.46
29/09/2015,1.1249,1.1247,1.1285,1.1196,0.0003,0.03
30/09/2015,1.1177,1.1246,1.1262,1.1157,-0.0064,-0.64
1/10/2015,1.1195,1.1176,1.121,1.1134,0.0016,0.16
2/10/2015,1.1211,1.1196,1.1319,1.1151,0.0014,0.14
5/10/2015,1.1185,1.122,1.129,1.117,-0.0023,-0.23
6/10/2015,1.1271,1.1193,1.1282,1.1174,0.0077,0.77
7/10/2015,1.1235,1.1269,1.1284,1.121,-0.0032,-0.32
8/10/2015,1.1279,1.1235,1.1325,1.1232,0.0039,0.39
9/10/2015,1.1358,1.1282,1.1391,1.1269,0.007,0.7
12/10/2015,1.1355,1.1355,1.1397,1.1351,-0.0003,-0.03
13/10/2015,1.1379,1.1358,1.1413,1.1346,0.0021,0.21
14/10/2015,1.1473,1.1378,1.149,1.1374,0.0083,0.83
15/10/2015,1.1383,1.1474,1.1496,1.1363,-0.0078,-0.78
16/10/2015,1.1347,1.1383,1.1397,1.1334,-0.0032,-0.32
19/10/2015,1.1327,1.1352,1.1382,1.1307,-0.0018,-0.18
20/10/2015,1.1345,1.1326,1.1387,1.1324,0.0016,0.16
21/10/2015,1.1339,1.1347,1.138,1.1335,-0.0005,-0.05
22/10/2015,1.1107,1.1338,1.1351,1.1098,-0.0205,-2.05
23/10/2015,1.1018,1.1111,1.1142,1.0997,-0.008,-0.8
26/10/2015,1.1056,1.1008,1.1069,1.0987,0.0034,0.34
27/10/2015,1.1048,1.1056,1.1079,1.1029,-0.0007,-0.07
28/10/2015,1.092,1.105,1.1096,1.0894,-0.0116,-1.16
29/10/2015,1.0976,1.0924,1.0985,1.0903,0.0051,0.51
30/10/2015,1.1006,1.0976,1.1073,1.0964,0.0027,0.27
2/11/2015,1.1015,1.1015,1.1053,1.1001,0.0008,0.08
3/11/2015,1.0968,1.1014,1.1031,1.0936,-0.0043,-0.43
4/11/2015,1.0863,1.0962,1.0968,1.0842,-0.0096,-0.96
5/11/2015,1.0884,1.0865,1.0898,1.0835,0.0019,0.19
6/11/2015,1.0741,1.0886,1.0896,1.0709,-0.0131,-1.31
9/11/2015,1.0752,1.0738,1.0793,1.0719,0.001,0.1
10/11/2015,1.0724,1.0751,1.0764,1.0673,-0.0026,-0.26
11/11/2015,1.0744,1.0724,1.0774,1.0705,0.0019,0.19
12/11/2015,1.0817,1.0743,1.0829,1.069,0.0068,0.68
13/11/2015,1.0779,1.0816,1.0818,1.0715,-0.0035,-0.35
16/11/2015,1.0686,1.0751,1.0781,1.0675,-0.0086,-0.86
17/11/2015,1.0644,1.069,1.0696,1.0633,-0.0039,-0.39
18/11/2015,1.0659,1.064,1.0694,1.0617,0.0014,0.14
19/11/2015,1.0734,1.0657,1.0764,1.0654,0.007,0.7
20/11/2015,1.0646,1.0736,1.0745,1.0641,-0.0082,-0.82
23/11/2015,1.0636,1.0647,1.0658,1.0593,-0.0009,-0.09
24/11/2015,1.0641,1.0634,1.0674,1.062,0.0005,0.05
25/11/2015,1.0627,1.0642,1.069,1.0566,-0.0013,-0.13
26/11/2015,1.061,1.0627,1.0633,1.06,-0.0016,-0.16
27/11/2015,1.0593,1.061,1.064,1.057,-0.0016,-0.16
30/11/2015,1.0564,1.0591,1.0596,1.0558,-0.0027,-0.27
1/12/2015,1.0631,1.0566,1.0638,1.0562,0.0063,0.63
2/12/2015,1.0615,1.0633,1.0644,1.0553,-0.0015,-0.15
3/12/2015,1.0941,1.0616,1.0983,1.0541,0.0307,3.07
4/12/2015,1.0886,1.0939,1.0957,1.0837,-0.005,-0.5
7/12/2015,1.0835,1.0859,1.0888,1.0795,-0.0047,-0.47
8/12/2015,1.0894,1.0835,1.0901,1.0827,0.0054,0.54
9/12/2015,1.1025,1.0888,1.1042,1.0877,0.012,1.2
10/12/2015,1.0941,1.1027,1.1029,1.0924,-0.0076,-0.76
11/12/2015,1.0989,1.0943,1.1033,1.0926,0.0044,0.44
14/12/2015,1.0992,1.0985,1.105,1.0946,0.0003,0.03
15/12/2015,1.0928,1.0991,1.1059,1.0903,-0.0058,-0.58
16/12/2015,1.0913,1.0932,1.1008,1.0888,-0.0014,-0.14
17/12/2015,1.0825,1.0915,1.0915,1.08,-0.0081,-0.81
18/12/2015,1.0868,1.0828,1.0877,1.0806,0.004,0.4
21/12/2015,1.0915,1.0863,1.0941,1.0848,0.0043,0.43
22/12/2015,1.0955,1.0913,1.0985,1.0901,0.0037,0.37
23/12/2015,1.0909,1.0955,1.0957,1.0869,-0.0042,-0.42
24/12/2015,1.0972,1.0913,1.0976,1.0903,0.0058,0.58
25/12/2015,1.0977,1.0973,1.0979,1.0945,0.0005,0.05
28/12/2015,1.0968,1.0965,1.0995,1.0951,-0.0008,-0.08
29/12/2015,1.0917,1.0968,1.0992,1.0899,-0.0046,-0.46
30/12/2015,1.0932,1.092,1.0947,1.0903,0.0014,0.14
31/12/2015,1.0861,1.0932,1.0938,1.085,-0.0065,-0.65
1/1/2016,1.086,1.0862,1.0869,1.0845,-0.0001,-0.01
4/1/2016,1.0831,1.0858,1.0949,1.0783,-0.0027,-0.27
5/1/2016,1.0748,1.0831,1.084,1.0711,-0.0077,-0.77
6/1/2016,1.0781,1.0749,1.0802,1.0721,0.0031,0.31
7/1/2016,1.0936,1.0779,1.0941,1.077,0.0144,1.44
8/1/2016,1.0932,1.0934,1.0936,1.0804,-0.0004,-0.04
11/1/2016,1.086,1.0923,1.0969,1.0847,-0.0066,-0.66
12/1/2016,1.0857,1.0859,1.0904,1.0822,-0.0003,-0.03
13/01/2016,1.0877,1.0858,1.0891,1.0807,0.0018,0.18
14/01/2016,1.0865,1.088,1.0945,1.0835,-0.0011,-0.11
15/01/2016,1.0917,1.0866,1.0987,1.0855,0.0048,0.48
18/01/2016,1.0892,1.0918,1.0941,1.0869,-0.0023,-0.23
19/01/2016,1.0909,1.0892,1.0941,1.0861,0.0016,0.16
20/01/2016,1.0891,1.091,1.0977,1.0877,-0.0016,-0.16
21/01/2016,1.0874,1.0893,1.0922,1.0779,-0.0016,-0.16
22/01/2016,1.0797,1.0874,1.0879,1.079,-0.0071,-0.71
25/01/2016,1.0849,1.0799,1.0858,1.0788,0.0048,0.48
26/01/2016,1.0871,1.085,1.0875,1.0819,0.002,0.2
27/01/2016,1.0893,1.0871,1.0917,1.0851,0.002,0.2
28/01/2016,1.0939,1.0891,1.0969,1.0869,0.0042,0.42
29/01/2016,1.0837,1.0938,1.0951,1.0812,-0.0093,-0.93
1/2/2016,1.0888,1.0833,1.0915,1.0814,0.0047,0.47
2/2/2016,1.0919,1.0892,1.0944,1.0886,0.0028,0.28
3/2/2016,1.1104,1.0917,1.1146,1.0903,0.0169,1.69
4/2/2016,1.1208,1.1104,1.124,1.107,0.0094,0.94
5/2/2016,1.1159,1.1209,1.1246,1.111,-0.0044,-0.44
8/2/2016,1.1198,1.1159,1.1218,1.1087,0.0035,0.35
9/2/2016,1.1293,1.1197,1.1339,1.1163,0.0085,0.85
10/2/2016,1.129,1.1292,1.1311,1.1159,-0.0003,-0.03
11/2/2016,1.1324,1.1292,1.1378,1.1274,0.003,0.3
12/2/2016,1.126,1.1328,1.1335,1.1215,-0.0057,-0.57
15/02/2016,1.1155,1.1251,1.1253,1.1127,-0.0093,-0.93
16/02/2016,1.1144,1.1155,1.1196,1.1123,-0.001,-0.1
17/02/2016,1.1128,1.1143,1.118,1.1104,-0.0014,-0.14
18/02/2016,1.1107,1.113,1.1153,1.1072,-0.0019,-0.19
19/02/2016,1.1134,1.1107,1.114,1.1067,0.0024,0.24
22/02/2016,1.1029,1.1128,1.1137,1.1003,-0.0094,-0.94
23/02/2016,1.102,1.1031,1.1055,1.0991,-0.0008,-0.08
24/02/2016,1.1013,1.1019,1.1047,1.0957,-0.0006,-0.06
25/02/2016,1.1023,1.1014,1.1052,1.0987,0.0009,0.09
26/02/2016,1.0934,1.102,1.1071,1.0913,-0.0081,-0.81
29/02/2016,1.0873,1.0932,1.0964,1.0858,-0.0056,-0.56
1/3/2016,1.0867,1.0873,1.0896,1.0835,-0.0006,-0.06
2/3/2016,1.0868,1.0868,1.0881,1.0825,0.0001,0.01
3/3/2016,1.0957,1.0867,1.0974,1.0853,0.0082,0.82
4/3/2016,1.1004,1.0958,1.1045,1.0903,0.0043,0.43
7/3/2016,1.1014,1.1008,1.1027,1.094,0.0009,0.09
8/3/2016,1.1011,1.1014,1.1059,1.0992,-0.0003,-0.03
9/3/2016,1.0999,1.1012,1.1037,1.0946,-0.0011,-0.11
10/3/2016,1.1177,1.0998,1.1218,1.0821,0.0162,1.62
11/3/2016,1.1153,1.1177,1.1212,1.1081,-0.0021,-0.21
14/03/2016,1.1106,1.1151,1.1177,1.1076,-0.0042,-0.42
15/03/2016,1.1109,1.11,1.1125,1.1071,0.0003,0.03
16/03/2016,1.1225,1.111,1.1245,1.1058,0.0104,1.04
17/03/2016,1.1319,1.1224,1.1344,1.1205,0.0084,0.84
18/03/2016,1.127,1.1319,1.1339,1.1257,-0.0043,-0.43
21/03/2016,1.1241,1.127,1.1286,1.1235,-0.0026,-0.26
22/03/2016,1.1217,1.1245,1.1263,1.119,-0.0021,-0.21
23/03/2016,1.1184,1.1218,1.1224,1.1158,-0.0029,-0.29
24/03/2016,1.1174,1.1179,1.1188,1.1143,-0.0009,-0.09
25/03/2016,1.1166,1.1176,1.1189,1.1153,-0.0007,-0.07
28/03/2016,1.1196,1.1164,1.1221,1.1154,0.0027,0.27
29/03/2016,1.1291,1.1198,1.1305,1.1168,0.0085,0.85
30/03/2016,1.1338,1.129,1.1366,1.1281,0.0042,0.42
31/03/2016,1.138,1.1338,1.1413,1.1309,0.0037,0.37
1/4/2016,1.1387,1.138,1.1439,1.1334,0.0006,0.06
4/4/2016,1.1392,1.1393,1.1414,1.1357,0.0004,0.04
5/4/2016,1.1384,1.1389,1.1406,1.1336,-0.0007,-0.07
6/4/2016,1.1399,1.1384,1.1434,1.1327,0.0013,0.13
7/4/2016,1.1377,1.1398,1.1455,1.1337,-0.0019,-0.19
8/4/2016,1.1401,1.1379,1.1421,1.135,0.0021,0.21
11/4/2016,1.1408,1.1407,1.1448,1.1373,0.0006,0.06
12/4/2016,1.1386,1.1408,1.1466,1.1347,-0.0019,-0.19
13/04/2016,1.1274,1.1385,1.1393,1.1266,-0.0098,-0.98
14/04/2016,1.1268,1.1274,1.1296,1.1234,-0.0005,-0.05
15/04/2016,1.1283,1.1271,1.132,1.1246,0.0013,0.13
18/04/2016,1.1314,1.1297,1.1334,1.1274,0.0027,0.27
19/04/2016,1.1358,1.1314,1.1387,1.1302,0.0039,0.39
20/04/2016,1.1297,1.1356,1.1388,1.1288,-0.0054,-0.54
21/04/2016,1.1288,1.1297,1.1396,1.1272,-0.0008,-0.08
22/04/2016,1.1233,1.129,1.1311,1.122,-0.0049,-0.49
25/04/2016,1.1266,1.1231,1.128,1.1216,0.0029,0.29
26/04/2016,1.1298,1.1265,1.1338,1.1254,0.0028,0.28
27/04/2016,1.1321,1.1298,1.1364,1.1274,0.002,0.2
28/04/2016,1.1353,1.132,1.137,1.1296,0.0028,0.28
29/04/2016,1.1456,1.1354,1.1461,1.1335,0.0091,0.91
2/5/2016,1.1532,1.1447,1.1539,1.1446,0.0066,0.66
3/5/2016,1.1497,1.1533,1.1616,1.1495,-0.003,-0.3
4/5/2016,1.1487,1.1496,1.153,1.1467,-0.0009,-0.09
5/5/2016,1.1405,1.1486,1.1496,1.1385,-0.0071,-0.71
6/5/2016,1.1405,1.1408,1.1479,1.1387,0,0
9/5/2016,1.1383,1.1401,1.1422,1.1375,-0.0019,-0.19
10/5/2016,1.1372,1.1385,1.1413,1.1361,-0.001,-0.1
11/5/2016,1.1427,1.1373,1.1448,1.1368,0.0048,0.48
12/5/2016,1.1377,1.1426,1.1434,1.1368,-0.0044,-0.44
13/05/2016,1.1308,1.1378,1.1383,1.1284,-0.0061,-0.61
16/05/2016,1.132,1.1311,1.1346,1.1302,0.0011,0.11
17/05/2016,1.1314,1.1321,1.135,1.1303,-0.0005,-0.05
18/05/2016,1.1217,1.1313,1.1327,1.1212,-0.0086,-0.86
19/05/2016,1.1203,1.1216,1.123,1.1179,-0.0012,-0.12
20/05/2016,1.1224,1.1204,1.1239,1.1194,0.0019,0.19
23/05/2016,1.1219,1.1218,1.1246,1.1187,-0.0004,-0.04
24/05/2016,1.1141,1.1219,1.1228,1.113,-0.007,-0.7
25/05/2016,1.1155,1.1141,1.1169,1.1128,0.0013,0.13
26/05/2016,1.1194,1.1154,1.1218,1.1144,0.0035,0.35
27/05/2016,1.1115,1.1193,1.1201,1.1107,-0.0071,-0.71
30/05/2016,1.1147,1.1117,1.1149,1.1098,0.0029,0.29
31/05/2016,1.1132,1.1138,1.1176,1.1123,-0.0013,-0.13
1/6/2016,1.1188,1.1133,1.1198,1.1114,0.005,0.5
2/6/2016,1.1151,1.1189,1.1221,1.1142,-0.0033,-0.33
3/6/2016,1.1367,1.1152,1.1377,1.1136,0.0194,1.94
6/6/2016,1.1355,1.1353,1.1395,1.1328,-0.0011,-0.11
7/6/2016,1.1358,1.1355,1.1382,1.1338,0.0003,0.03
8/6/2016,1.1394,1.1358,1.1412,1.1349,0.0032,0.32
9/6/2016,1.1316,1.1399,1.1417,1.1305,-0.0068,-0.68
10/6/2016,1.1251,1.1317,1.1329,1.1245,-0.0057,-0.57
13/06/2016,1.1292,1.1253,1.1304,1.1233,0.0036,0.36
14/06/2016,1.1208,1.1293,1.1304,1.1188,-0.0074,-0.74
15/06/2016,1.1259,1.1205,1.1299,1.119,0.0046,0.46
16/06/2016,1.1226,1.126,1.1298,1.1132,-0.0029,-0.29
17/06/2016,1.1277,1.1226,1.1299,1.1221,0.0045,0.45
20/06/2016,1.1314,1.1285,1.1386,1.1284,0.0033,0.33
21/06/2016,1.1242,1.1312,1.1351,1.1241,-0.0064,-0.64
22/06/2016,1.1297,1.1242,1.1339,1.1236,0.0049,0.49
23/06/2016,1.1389,1.1298,1.1424,1.1296,0.0081,0.81
24/06/2016,1.1117,1.1392,1.1434,1.0911,-0.0239,-2.39
27/06/2016,1.1026,1.1072,1.1087,1.0972,-0.0082,-0.82
28/06/2016,1.1067,1.1025,1.1111,1.1008,0.0037,0.37
29/06/2016,1.1125,1.1065,1.1131,1.1048,0.0052,0.52
30/06/2016,1.1105,1.1124,1.1157,1.1023,-0.0018,-0.18
1/7/2016,1.1136,1.1104,1.1169,1.107,0.0028,0.28
4/7/2016,1.1156,1.1142,1.1166,1.1097,0.0018,0.18
5/7/2016,1.1076,1.1154,1.1184,1.1059,-0.0072,-0.72
6/7/2016,1.1099,1.1075,1.1111,1.1029,0.0021,0.21
7/7/2016,1.1063,1.1101,1.1113,1.1053,-0.0032,-0.32
8/7/2016,1.1054,1.1063,1.1115,1.1002,-0.0008,-0.08
11/7/2016,1.1058,1.1052,1.1076,1.1016,0.0004,0.04
12/7/2016,1.1059,1.1058,1.1128,1.1051,0.0001,0.01
13/07/2016,1.109,1.1061,1.1121,1.1043,0.0028,0.28
14/07/2016,1.112,1.1089,1.1166,1.1085,0.0027,0.27
15/07/2016,1.1036,1.1118,1.115,1.1023,-0.0076,-0.76
18/07/2016,1.1074,1.1043,1.1086,1.1038,0.0034,0.34
19/07/2016,1.1022,1.1073,1.1086,1.0999,-0.0047,-0.47
20/07/2016,1.1015,1.102,1.1032,1.0981,-0.0006,-0.06
21/07/2016,1.1025,1.1013,1.106,1.0981,0.0009,0.09
22/07/2016,1.0976,1.103,1.1043,1.0954,-0.0044,-0.44
25/07/2016,1.0994,1.0972,1.1002,1.0954,0.0016,0.16
26/07/2016,1.0987,1.0997,1.1031,1.0978,-0.0006,-0.06
27/07/2016,1.1058,1.0986,1.1068,1.0963,0.0065,0.65
28/07/2016,1.1075,1.1058,1.1119,1.1048,0.0015,0.15
29/07/2016,1.1174,1.1079,1.12,1.1071,0.0089,0.89
1/8/2016,1.1162,1.1177,1.1187,1.1157,-0.0011,-0.11
2/8/2016,1.1227,1.1162,1.1235,1.1155,0.0058,0.58
3/8/2016,1.1149,1.1224,1.1233,1.1139,-0.0069,-0.69
4/8/2016,1.113,1.1149,1.1158,1.1114,-0.0017,-0.17
5/8/2016,1.1086,1.1128,1.1162,1.1044,-0.004,-0.4
8/8/2016,1.1092,1.1088,1.1107,1.1073,0.0005,0.05
9/8/2016,1.1119,1.109,1.1125,1.107,0.0024,0.24
10/8/2016,1.1176,1.1117,1.1193,1.1103,0.0051,0.51
11/8/2016,1.1137,1.1175,1.1194,1.1133,-0.0035,-0.35
12/8/2016,1.1161,1.1139,1.1224,1.113,0.0022,0.22
15/08/2016,1.1184,1.1162,1.1203,1.1153,0.0021,0.21
16/08/2016,1.1278,1.1182,1.1324,1.1175,0.0084,0.84
17/08/2016,1.1288,1.1279,1.1317,1.1241,0.0009,0.09
18/08/2016,1.1354,1.1293,1.1367,1.1283,0.0058,0.58
19/08/2016,1.1326,1.1351,1.1363,1.1303,-0.0025,-0.25
22/08/2016,1.1319,1.1306,1.1334,1.1273,-0.0006,-0.06
23/08/2016,1.1306,1.1321,1.1357,1.1302,-0.0011,-0.11
24/08/2016,1.1263,1.1305,1.1315,1.1244,-0.0038,-0.38
25/08/2016,1.1283,1.1266,1.1301,1.1258,0.0018,0.18
26/08/2016,1.1198,1.1284,1.1343,1.118,-0.0075,-0.75
29/08/2016,1.1189,1.1192,1.1208,1.1157,-0.0008,-0.08
30/08/2016,1.1143,1.1189,1.1198,1.113,-0.0041,-0.41
31/08/2016,1.1158,1.1143,1.1167,1.1123,0.0013,0.13
1/9/2016,1.1198,1.1157,1.1207,1.1128,0.0036,0.36
2/9/2016,1.1156,1.1197,1.1254,1.1151,-0.0038,-0.38
5/9/2016,1.1147,1.1153,1.1185,1.114,-0.0008,-0.08
6/9/2016,1.1256,1.1147,1.1267,1.114,0.0098,0.98
7/9/2016,1.1239,1.1255,1.1271,1.1228,-0.0015,-0.15
8/9/2016,1.1261,1.124,1.1329,1.1234,0.002,0.2
9/9/2016,1.1233,1.1262,1.1288,1.12,-0.0025,-0.25
12/9/2016,1.1234,1.1232,1.1269,1.1211,0.0001,0.01
13/09/2016,1.122,1.1236,1.1262,1.1203,-0.0012,-0.12
14/09/2016,1.125,1.1216,1.1274,1.1208,0.0027,0.27
15/09/2016,1.1244,1.1249,1.1286,1.122,-0.0005,-0.05
16/09/2016,1.1155,1.1244,1.1256,1.1147,-0.0079,-0.79
19/09/2016,1.1174,1.1161,1.1198,1.1147,0.0017,0.17
20/09/2016,1.1155,1.1178,1.1216,1.1147,-0.0017,-0.17
21/09/2016,1.1189,1.1152,1.12,1.1123,0.003,0.3
22/09/2016,1.1208,1.1193,1.1258,1.1181,0.0017,0.17
23/09/2016,1.1226,1.1209,1.1244,1.1195,0.0016,0.16
26/09/2016,1.1254,1.1221,1.1279,1.122,0.0025,0.25
27/09/2016,1.1215,1.1253,1.1262,1.119,-0.0035,-0.35
28/09/2016,1.1216,1.1214,1.1238,1.1181,0.0001,0.01
29/09/2016,1.1223,1.1217,1.1251,1.1197,0.0006,0.06
30/09/2016,1.1241,1.1225,1.1253,1.1153,0.0016,0.16
3/10/2016,1.1211,1.1235,1.1245,1.1205,-0.0027,-0.27
4/10/2016,1.1204,1.121,1.124,1.1138,-0.0006,-0.06
5/10/2016,1.1206,1.1206,1.1237,1.1191,0.0002,0.02
