Date,Close,Open,High,Low
24/11/2017,1.193,1.185,1.1944,1.1835
27/11/2017,1.1898,1.1933,1.1962,1.1896
28/11/2017,1.1841,1.1898,1.1921,1.1827
29/11/2017,1.1848,1.1841,1.1883,1.1816
30/11/2017,1.1904,1.1847,1.1933,1.1809
1/12/2017,1.1891,1.1904,1.1942,1.1851
4/12/2017,1.1866,1.1882,1.189,1.183
5/12/2017,1.1826,1.1866,1.1879,1.1801
6/12/2017,1.1796,1.1825,1.1849,1.178
7/12/2017,1.1773,1.1796,1.1816,1.1772
8/12/2017,1.1764,1.1772,1.1778,1.1729
11/12/2017,1.1768,1.1768,1.1812,1.1761
12/12/2017,1.1742,1.177,1.1794,1.1718
13/12/2017,1.1826,1.1743,1.1832,1.1729
14/12/2017,1.1778,1.1826,1.1863,1.177
15/12/2017,1.1754,1.1778,1.1814,1.1751
18/12/2017,1.1782,1.1753,1.1834,1.1737
19/12/2017,1.184,1.1782,1.1851,1.1777
20/12/2017,1.1871,1.184,1.1903,1.1829
21/12/2017,1.1873,1.1871,1.1889,1.1848
22/12/2017,1.1859,1.1874,1.1878,1.1817
25/12/2017,1.1869,1.185,1.1882,1.1842
26/12/2017,1.1859,1.1867,1.1879,1.1845
27/12/2017,1.1888,1.1859,1.1912,1.1855
28/12/2017,1.1943,1.1888,1.1961,1.1888
29/12/2017,1.1998,1.1943,1.203,1.1937
1/1/2018,1.201,1.2003,1.2014,1.1995
2/1/2018,1.2059,1.2013,1.2084,1.2003
3/1/2018,1.2014,1.2058,1.207,1.2001
4/1/2018,1.2068,1.2015,1.209,1.2004
5/1/2018,1.203,1.2068,1.2085,1.2021
8/1/2018,1.1967,1.2029,1.2054,1.1956
9/1/2018,1.1937,1.1967,1.1977,1.1916
10/1/2018,1.1947,1.1938,1.2019,1.1923
11/1/2018,1.2032,1.1946,1.206,1.1928
12/1/2018,1.2187,1.2033,1.219,1.2031
15/01/2018,1.2263,1.2198,1.2298,1.2188
16/01/2018,1.2261,1.2265,1.2284,1.2194
17/01/2018,1.2186,1.226,1.2324,1.2176
18/01/2018,1.2239,1.2186,1.2267,1.2165
19/01/2018,1.2222,1.2236,1.2296,1.2219
22/01/2018,1.2262,1.2268,1.2276,1.2214
23/01/2018,1.2299,1.2263,1.2308,1.2223
24/01/2018,1.2408,1.2299,1.2417,1.2293
25/01/2018,1.2396,1.2408,1.2537,1.2364
26/01/2018,1.2421,1.2395,1.2495,1.2371
29/01/2018,1.2383,1.2427,1.2436,1.2336
30/01/2018,1.2402,1.2383,1.2455,1.2335
31/01/2018,1.2421,1.2401,1.2476,1.2386
1/2/2018,1.251,1.2414,1.2524,1.2386
2/2/2018,1.2462,1.2508,1.2519,1.2409
5/2/2018,1.2368,1.2455,1.2475,1.2362
6/2/2018,1.2377,1.2367,1.2434,1.2314
7/2/2018,1.2264,1.2378,1.2407,1.2247
8/2/2018,1.2247,1.2264,1.2297,1.2212
9/2/2018,1.2235,1.2245,1.2289,1.2206
12/2/2018,1.2292,1.2253,1.2298,1.2234
13/02/2018,1.2352,1.2293,1.2373,1.2285
14/02/2018,1.245,1.2352,1.2467,1.2276
15/02/2018,1.2506,1.2449,1.2511,1.2447
16/02/2018,1.2406,1.2506,1.2557,1.2394
19/02/2018,1.2408,1.2409,1.2435,1.2368
20/02/2018,1.2338,1.2409,1.2414,1.232
21/02/2018,1.2284,1.2338,1.2361,1.2281
22/02/2018,1.2331,1.2283,1.2354,1.226
23/02/2018,1.2293,1.2329,1.2337,1.2279
26/02/2018,1.2318,1.2299,1.2356,1.2278
27/02/2018,1.2232,1.2317,1.2348,1.2221
28/02/2018,1.2194,1.2232,1.2243,1.2188
1/3/2018,1.2268,1.2193,1.2272,1.2153
2/3/2018,1.2317,1.2266,1.2336,1.225
5/3/2018,1.2336,1.2323,1.2366,1.2268
6/3/2018,1.2404,1.2336,1.2422,1.2328
7/3/2018,1.2413,1.2404,1.2445,1.2385
8/3/2018,1.2312,1.2411,1.2448,1.2298
9/3/2018,1.2307,1.2312,1.2336,1.2273
12/3/2018,1.2334,1.2311,1.2347,1.2291
13/03/2018,1.239,1.2334,1.2408,1.2314
